Account Number,Date,Description,Amount
500015,11/05/2017,Customer Service,632
500015,11/02/2018,Asset Management,16
500015,11/02/2017,Accounting,136
500015,11/07/2017,Media Relations,570
500015,11/04/2017,Sales and Marketing,677
500015,11/08/2017,Public Relations,493
500015,11/07/2017,Advertising,189
500015,11/07/2018,Asset Management,676
500015,11/06/2017,Asset Management,685
500015,11/02/2017,Asset Management,95
500015,11/11/2017,Tech Support,326
500015,11/11/2017,Advertising,35
500015,11/01/2018,Asset Management,630
500015,11/04/2018,Accounting,239
500015,11/08/2017,Sales and Marketing,390
500015,11/02/2017,Media Relations,283
500015,11/05/2018,Asset Management,899
500015,11/07/2017,Customer Relations,561
500015,11/01/2017,Research and Development,308
500015,11/04/2017,Media Relations,584
500015,11/03/2017,Quality Assurance,316
500015,11/08/2017,Customer Relations,881
500015,11/09/2017,Asset Management,237
500015,11/07/2017,Human Resources,576
500015,11/03/2018,Sales and Marketing,833
500015,12/06/2018,Payroll,483
500015,12/04/2017,Quality Assurance,941
500015,12/06/2017,Customer Relations,234
500015,12/09/2017,Payroll,87
500015,12/03/2018,Quality Assurance,700
500015,12/09/2017,Customer Service,797
500015,12/04/2018,Accounting,387
500015,12/07/2018,Payroll,485
500015,12/12/2017,Media Relations,387
500015,12/05/2018,Payroll,50
500015,12/04/2018,Legal Department,483
500015,12/03/2018,Media Relations,520
500015,12/10/2017,Tech Support,148
500015,12/06/2018,Public Relations,265
500015,12/05/2017,Tech Support,363
500015,12/03/2017,Payroll,149
500015,12/01/2017,Quality Assurance,544
500015,12/03/2017,Accounting,71
500015,12/02/2017,Finances,140
500015,12/06/2018,Human Resources,60
500015,12/05/2017,Customer Service,940
500015,12/07/2017,Public Relations,815
500015,12/12/2017,Finances,733
500015,12/02/2018,Customer Service,802
500015,12/07/2018,Public Relations,202
500015,12/05/2018,Media Relations,877
500015,12/11/2017,Payroll,98
500015,12/08/2017,Finances,309
500015,13/10/2017,Customer Service,864
500015,13/04/2017,Quality Assurance,712
500015,13/09/2017,Human Resources,513
500015,13/09/2017,Advertising,561
500015,13/04/2017,Quality Assurance,417
500015,13/11/2017,Media Relations,572
500015,13/11/2017,Quality Assurance,622
500015,13/09/2017,Media Relations,404
500015,13/07/2017,Tech Support,631
500015,13/09/2017,Human Resources,537
500015,13/10/2017,Research and Development,528
500015,13/12/2017,Public Relations,316
500015,13/08/2017,Legal Department,731
500015,13/04/2017,Payroll,528
500015,13/02/2018,Sales and Marketing,86
500015,13/04/2017,Advertising,725
500015,13/02/2018,Media Relations,771
500015,13/10/2017,Accounting,566
500015,13/09/2017,Quality Assurance,723
500015,13/07/2017,Customer Relations,510
500015,13/11/2017,Research and Development,898
500015,13/02/2018,Human Resources,124
500015,13/03/2018,Legal Department,728
500015,13/08/2017,Public Relations,304
500015,13/10/2017,Accounting,21
500015,13/11/2017,Media Relations,576
500015,13/02/2017,Human Resources,864
500015,13/02/2017,Finances,984
500015,13/02/2017,Asset Management,950
500015,13/02/2018,Public Relations,584
500015,13/02/2017,Customer Relations,921
500015,13/07/2017,Customer Service,423
500015,13/01/2017,Accounting,544
500015,13/04/2018,Human Resources,736
500015,13/06/2017,Customer Relations,358
500015,13/05/2017,Customer Service,282
500015,13/05/2017,Public Relations,431
500015,13/05/2017,Finances,288
500015,13/07/2018,Payroll,785
500015,13/05/2017,Advertising,796
500015,13/10/2017,Tech Support,583
500015,13/06/2017,Tech Support,607
500015,13/08/2017,Quality Assurance,190
500015,13/06/2017,Accounting,315
500015,14/06/2018,Advertising,467
500015,14/10/2017,Finances,988
500015,14/07/2018,Advertising,982
500015,14/02/2018,Advertising,675
500015,14/02/2018,Tech Support,584
500015,14/03/2018,Payroll,229
500015,14/05/2017,Accounting,228
500015,14/01/2018,Accounting,214
500015,14/05/2017,Tech Support,660
500015,14/02/2018,Sales and Marketing,631
500015,14/02/2017,Sales and Marketing,160
500015,14/09/2017,Media Relations,171
500015,14/04/2018,Asset Management,319
500015,14/05/2018,Research and Development,392
500015,14/03/2017,Payroll,251
500015,14/04/2018,Payroll,956
500015,14/07/2018,Advertising,667
500015,14/07/2018,Quality Assurance,266
500015,14/09/2017,Sales and Marketing,79
500015,14/05/2018,Payroll,868
500015,14/03/2018,Advertising,730
500015,14/08/2017,Advertising,46
500015,14/06/2018,Finances,982
500015,14/10/2017,Payroll,684
500015,14/05/2017,Advertising,326
500015,14/02/2018,Quality Assurance,836
500015,15/03/2018,Legal Department,310
500015,15/04/2018,Customer Relations,626
500015,15/09/2017,Tech Support,65
500015,15/06/2017,Human Resources,952
500015,15/03/2018,Legal Department,501
500015,15/06/2018,Asset Management,357
500015,15/01/2017,Sales and Marketing,528
500015,15/05/2018,Public Relations,493
500015,15/08/2017,Quality Assurance,66
500015,15/01/2017,Legal Department,429
500015,15/02/2018,Quality Assurance,433
500015,15/02/2017,Asset Management,183
500015,15/04/2018,Media Relations,831
500015,15/12/2017,Customer Service,17
500015,15/05/2018,Customer Relations,498
500015,15/10/2017,Accounting,316
500015,15/11/2017,Media Relations,808
500015,15/09/2017,Advertising,246
500015,15/02/2018,Public Relations,658
500015,15/04/2018,Customer Service,777
500015,15/06/2018,Sales and Marketing,595
500015,15/05/2017,Payroll,525
500015,15/07/2018,Human Resources,480
500015,15/09/2017,Customer Service,911
500015,15/10/2017,Quality Assurance,113
500015,15/06/2018,Human Resources,576
500015,15/03/2017,Customer Service,728
500015,15/09/2017,Advertising,612
500015,15/08/2017,Tech Support,427
500015,15/06/2018,Media Relations,24
500015,15/03/2018,Customer Relations,887
500015,16/03/2018,Quality Assurance,594
500015,16/01/2017,Legal Department,190
500015,16/02/2017,Human Resources,146
500015,16/04/2018,Human Resources,503
500015,16/06/2017,Quality Assurance,751
500015,16/07/2018,Customer Service,15
500015,16/04/2017,Tech Support,99
500015,16/03/2018,Research and Development,101
500015,16/04/2017,Payroll,51
500015,16/04/2017,Human Resources,868
500015,16/11/2017,Accounting,310
500015,16/01/2018,Asset Management,292
500015,16/03/2017,Accounting,978
500015,16/08/2017,Quality Assurance,587
500015,16/09/2017,Payroll,859
500015,16/09/2017,Customer Service,662
500015,16/06/2017,Advertising,827
500015,16/11/2017,Media Relations,485
500015,16/11/2017,Customer Relations,858
500015,16/01/2018,Advertising,556
500015,16/02/2017,Research and Development,972
500015,16/10/2017,Human Resources,780
500015,16/04/2017,Sales and Marketing,527
500015,16/07/2018,Accounting,163
500015,16/03/2018,Tech Support,890
500015,16/10/2017,Human Resources,611
500015,16/06/2017,Human Resources,835
500015,16/05/2017,Payroll,278
500015,16/08/2017,Payroll,718
500015,16/03/2018,Payroll,236
500015,16/02/2018,Asset Management,932
500015,16/01/2018,Customer Relations,814
500015,16/03/2018,Tech Support,514
500015,17/03/2018,Tech Support,652
500015,17/01/2017,Quality Assurance,398
500015,17/01/2017,Research and Development,233
500015,17/05/2018,Customer Service,871
500015,17/02/2017,Public Relations,637
500015,17/02/2017,Human Resources,544
500015,17/01/2017,Accounting,956
500015,17/01/2017,Customer Service,950
500015,17/03/2017,Customer Service,266
500015,17/03/2018,Media Relations,734
500015,17/03/2017,Human Resources,823
500015,17/11/2017,Human Resources,193
500015,17/03/2017,Advertising,857
500015,17/04/2017,Accounting,928
500015,17/04/2017,Quality Assurance,380
500015,17/07/2018,Research and Development,235
500015,17/03/2017,Accounting,181
500015,17/05/2017,Research and Development,351
500015,17/05/2017,Research and Development,398
500015,17/05/2017,Accounting,623
500015,17/08/2017,Media Relations,884
500015,17/05/2018,Payroll,493
500015,17/07/2018,Finances,954
500015,17/07/2017,Customer Relations,171
500015,17/11/2017,Customer Relations,948
500015,17/05/2017,Asset Management,790
500015,17/09/2017,Customer Service,384
500015,17/01/2018,Research and Development,102
500015,17/01/2018,Public Relations,464
500015,17/02/2018,Sales and Marketing,572
500015,18/11/2017,Customer Relations,714
500015,18/12/2017,Quality Assurance,556
500015,18/07/2018,Customer Relations,71
500015,18/02/2018,Media Relations,315
500015,18/08/2017,Customer Relations,714
500015,18/03/2018,Public Relations,729
500015,18/05/2018,Asset Management,676
500015,18/09/2017,Customer Relations,272
500015,18/01/2018,Media Relations,942
500015,18/01/2018,Advertising,617
500015,18/07/2017,Advertising,562
500015,18/01/2018,Customer Relations,985
500015,18/07/2018,Tech Support,768
500015,18/01/2017,Advertising,201
500015,18/02/2017,Sales and Marketing,449
500015,18/02/2018,Legal Department,762
500015,18/03/2018,Accounting,244
500015,18/03/2018,Customer Relations,957
500015,18/03/2017,Human Resources,727
500015,18/04/2018,Public Relations,407
500015,18/03/2018,Tech Support,831
500015,18/10/2017,Tech Support,703
500015,18/04/2017,Research and Development,682
500015,18/01/2017,Media Relations,462
500015,18/09/2017,Customer Relations,976
500015,18/11/2017,Payroll,320
500015,18/06/2018,Finances,888
500015,18/03/2017,Quality Assurance,817
500015,19/01/2017,Research and Development,202
500015,19/01/2017,Sales and Marketing,643
500015,19/05/2017,Advertising,14
500015,19/03/2018,Media Relations,695
500015,19/06/2018,Finances,958
500015,19/07/2018,Customer Service,12
500015,19/02/2018,Advertising,902
500015,19/07/2017,Accounting,378
500015,19/02/2017,Public Relations,519
500015,19/02/2018,Research and Development,354
500015,19/05/2018,Human Resources,805
500015,19/11/2017,Quality Assurance,84
500015,19/12/2017,Legal Department,351
500015,19/05/2017,Payroll,556
500015,19/03/2018,Payroll,12
500015,19/07/2017,Asset Management,621
500015,19/01/2017,Human Resources,938
500015,19/01/2017,Media Relations,672
500015,19/07/2018,Quality Assurance,328
500015,19/03/2018,Asset Management,819
500015,19/07/2018,Media Relations,13
500015,19/02/2017,Customer Relations,477
500015,19/06/2017,Asset Management,245
500015,19/08/2017,Public Relations,1
500015,19/08/2017,Tech Support,726
500015,19/11/2017,Customer Service,122
500015,19/03/2018,Human Resources,669
500015,19/09/2017,Advertising,12
500015,19/10/2017,Customer Service,759
500015,19/11/2017,Research and Development,966
500015,19/04/2017,Accounting,550
500015,20/05/2017,Quality Assurance,828
500015,20/05/2017,Customer Relations,797
500015,20/02/2018,Advertising,219
500015,20/05/2017,Customer Relations,884
500015,20/06/2017,Quality Assurance,665
500015,20/01/2018,Accounting,475
500015,20/01/2018,Advertising,133
500015,20/05/2017,Customer Service,969
500015,20/10/2017,Finances,619
500015,20/02/2018,Public Relations,646
500015,20/07/2018,Finances,248
500015,20/03/2018,Media Relations,583
500015,20/04/2017,Quality Assurance,868
500015,20/02/2018,Media Relations,528
500015,20/08/2017,Human Resources,79
500015,20/01/2017,Payroll,288
500015,20/09/2017,Tech Support,706
500015,20/07/2017,Customer Relations,249
500015,20/06/2018,Legal Department,639
500015,20/06/2018,Asset Management,234
500015,20/07/2018,Public Relations,970
500015,20/07/2018,Public Relations,791
500015,20/12/2017,Advertising,739
500015,20/07/2017,Media Relations,219
500015,20/11/2017,Media Relations,401
500015,20/07/2017,Advertising,910
500015,20/03/2018,Media Relations,745
500015,20/04/2017,Media Relations,299
500015,20/04/2017,Customer Relations,378
500015,20/06/2017,Research and Development,259
500015,20/08/2017,Finances,869
500015,20/11/2017,Customer Relations,2
500015,20/07/2018,Advertising,529
500015,20/11/2017,Advertising,479
500015,20/07/2017,Human Resources,897
500015,20/03/2018,Media Relations,465
500015,20/04/2018,Tech Support,520
500015,20/03/2017,Sales and Marketing,586
500015,20/10/2017,Finances,513
500015,20/07/2018,Accounting,913
500015,20/08/2017,Public Relations,144
500015,20/10/2017,Legal Department,49
500015,21/03/2017,Public Relations,558
500015,21/02/2017,Tech Support,655
500015,21/05/2018,Quality Assurance,615
500015,21/03/2017,Payroll,580
500015,21/01/2018,Payroll,537
500015,21/07/2018,Tech Support,267
500015,21/06/2018,Human Resources,732
500015,21/01/2018,Sales and Marketing,898
500015,21/03/2017,Quality Assurance,631
500015,21/12/2017,Quality Assurance,308
500015,21/02/2018,Media Relations,225
500015,21/01/2017,Customer Relations,534
500015,21/07/2018,Research and Development,120
500015,21/02/2017,Accounting,756
500015,21/07/2017,Asset Management,946
500015,21/07/2017,Media Relations,684
500015,21/07/2017,Customer Relations,696
500015,21/07/2017,Research and Development,419
500015,21/12/2017,Payroll,295
500015,21/03/2018,Customer Relations,837
500015,21/03/2018,Customer Service,789
500015,21/04/2018,Advertising,679
500015,21/06/2017,Asset Management,230
500015,21/04/2018,Payroll,263
500015,21/04/2018,Accounting,651
500015,21/04/2018,Asset Management,128
500015,21/11/2017,Customer Relations,313
500015,21/04/2018,Quality Assurance,807
500015,21/05/2018,Sales and Marketing,134
500015,22/01/2017,Customer Service,276
500015,22/03/2018,Customer Service,860
500015,22/02/2017,Asset Management,439
500015,22/05/2017,Legal Department,425
500015,22/04/2017,Customer Service,783
500015,22/01/2018,Payroll,987
500015,22/02/2017,Research and Development,372
500015,22/01/2018,Public Relations,296
500015,22/03/2018,Media Relations,325
500015,22/09/2017,Advertising,601
500015,22/01/2017,Sales and Marketing,990
500015,22/12/2017,Research and Development,110
500015,22/07/2017,Customer Service,132
500015,22/06/2017,Accounting,659
500015,22/05/2018,Asset Management,381
500015,22/12/2017,Human Resources,227
500015,22/06/2017,Accounting,379
500015,22/04/2018,Asset Management,887
500015,22/04/2018,Quality Assurance,612
500015,22/04/2018,Finances,985
500015,22/04/2018,Tech Support,461
500015,22/03/2018,Media Relations,184
500015,22/12/2017,Tech Support,275
500015,22/07/2018,Advertising,664
500015,22/06/2018,Accounting,652
500015,22/02/2018,Finances,603
500015,22/02/2017,Payroll,861
500015,22/06/2017,Advertising,975
500015,22/07/2017,Human Resources,887
500015,22/03/2018,Payroll,981
500015,22/10/2017,Sales and Marketing,305
500015,22/03/2018,Sales and Marketing,599
500015,22/12/2017,Tech Support,975
500015,22/07/2018,Legal Department,792
500015,22/05/2018,Human Resources,486
500015,22/07/2017,Research and Development,25
500015,22/03/2018,Public Relations,629
500015,23/02/2018,Research and Development,112
500015,23/02/2017,Research and Development,953
500015,23/02/2018,Legal Department,113
500015,23/07/2018,Payroll,656
500015,23/02/2018,Public Relations,656
500015,23/01/2017,Customer Service,649
500015,23/06/2018,Finances,774
500015,23/06/2018,Customer Service,70
500015,23/07/2017,Legal Department,65
500015,23/07/2018,Human Resources,790
500015,23/05/2017,Human Resources,641
500015,23/12/2017,Human Resources,88
500015,23/09/2017,Payroll,354
500015,23/03/2018,Quality Assurance,513
500015,23/06/2018,Advertising,974
500015,23/12/2017,Payroll,846
500015,23/03/2018,Payroll,515
500015,23/12/2017,Media Relations,914
500015,23/09/2017,Legal Department,748
500015,23/06/2017,Human Resources,813
500015,23/03/2017,Accounting,918
500015,23/03/2018,Legal Department,802
500015,23/01/2017,Human Resources,443
500015,23/02/2017,Customer Service,476
500015,23/11/2017,Research and Development,975
500015,23/04/2017,Asset Management,352
500015,23/12/2017,Tech Support,729
500015,23/02/2018,Customer Service,484
500015,23/07/2018,Legal Department,89
500015,23/06/2018,Accounting,104
500015,23/01/2018,Customer Service,857
500015,23/12/2017,Public Relations,219
500015,23/04/2017,Sales and Marketing,362
500015,23/05/2017,Sales and Marketing,606
500015,23/08/2017,Advertising,476
500015,23/02/2018,Finances,666
500015,23/04/2017,Human Resources,792
500015,23/02/2017,Tech Support,255
500015,23/03/2017,Research and Development,881
500015,24/01/2018,Finances,973
500015,24/01/2017,Customer Service,255
500015,24/06/2017,Finances,5
500015,24/04/2018,Finances,603
500015,24/05/2018,Research and Development,945
500015,24/10/2017,Legal Department,255
500015,24/05/2018,Payroll,21
500015,24/05/2018,Research and Development,781
500015,24/05/2017,Research and Development,297
500015,24/06/2017,Public Relations,707
500015,24/03/2018,Human Resources,476
500015,24/04/2018,Human Resources,84
500015,24/10/2017,Media Relations,663
500015,24/04/2017,Accounting,126
500015,24/04/2018,Advertising,453
500015,24/06/2017,Advertising,626
500015,24/05/2017,Quality Assurance,603
500015,24/03/2018,Payroll,176
500015,24/12/2017,Sales and Marketing,743
500015,24/03/2018,Customer Relations,180
500015,24/04/2017,Human Resources,225
500015,24/06/2018,Research and Development,834
500015,24/02/2018,Accounting,28
500015,24/06/2017,Media Relations,543
500015,24/06/2018,Asset Management,65
500015,24/03/2017,Accounting,640
500015,24/01/2018,Customer Relations,299
500015,24/02/2017,Human Resources,294
500015,24/09/2017,Media Relations,230
